Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
hbeta_ew_std,200,31,-1315.0506591796875,0.9840579032897948,0.0001115489806603,0.95803015805072,0.0003114427653524
cov_nii_6584_ew_halpha_ew,200,31,-1533.1265869140625,0.98286235332489,2.438129117911532e-05,0.928883725417492,0.0001168538807948
cov_nii_6584_ew_oiii_5007_ew,200,26,-1508.6748046875,0.95822274684906,3.172296563331219e-05,0.881069101740856,0.0001064464946472
cov_nii_6584_ew_hbeta_ew,200,42,-1545.014404296875,0.9744160175323486,2.3288699268595205e-05,0.9228858107239176,7.908959697801597e-05
cov_halpha_ew_oiii_5007_ew,200,34,-1409.3299560546875,0.9646331071853638,5.5652515169945815e-05,0.8728338025644287,0.0002314753913534
cov_halpha_ew_hbeta_ew,200,39,-1461.844482421875,0.989971160888672,3.667960823910876e-05,0.9555631908667755,0.0001789945947863
cov_oiii_5007_ew_hbeta_ew,200,30,-1413.6982421875,0.9530954957008362,5.5891308269062645e-05,0.8639096620084878,0.0001817082056195
nii_6584_ew_mean,100,22,-1307.5489501953125,0.9952638745307922,0.0001296305711468,0.9882892074519471,0.0003367496794825
halpha_ew_mean,100,34,-1274.6195068359375,0.9987509250640868,0.0001412598395209,0.9962470388961812,0.0004329201159044
oiii_5007_ew_mean,100,26,-1211.891357421875,0.9978599548339844,0.000237223102715,0.993377709609731,0.0007226336454194
hbeta_ew_mean,100,33,-1286.2862548828125,0.9985904693603516,0.0001306892751724,0.995822720664838,0.0003958799132171
nii_6584_ew_std,100,29,-1328.2060546875,0.9484361410140992,0.0001021825506304,0.8503027374261725,0.0003026965081182
halpha_ew_std,100,29,-1318.74560546875,0.9883716106414796,0.0001088347182066,0.9639333484778808,0.0003586334747448
oiii_5007_ew_std,100,25,-1181.8594970703125,0.8162347674369812,0.0002898064140074,0.6152366503756812,0.0007372769754325
hbeta_ew_std,100,40,-1309.219970703125,0.9839705228805542,0.0001121604459877,0.9585442311668774,0.0003076280177753
cov_nii_6584_ew_halpha_ew,100,33,-1534.976318359375,0.9830724000930786,2.4082474626732187e-05,0.9273720119282762,0.0001193378352609
cov_nii_6584_ew_oiii_5007_ew,100,32,-1509.65625,0.9584952592849731,3.15160574933499e-05,0.8841986457073621,0.00010364546489
cov_nii_6584_ew_hbeta_ew,100,26,-1553.777587890625,0.9733242392539978,2.4282564414924803e-05,0.9226296919230526,7.935227668623932e-05
cov_halpha_ew_oiii_5007_ew,100,32,-1416.1141357421875,0.9638615846633912,5.686653540315988e-05,0.8697200208619181,0.0002371432799332
cov_halpha_ew_hbeta_ew,100,41,-1459.5797119140625,0.9898185729980468,3.723762791895876e-05,0.9557315671401232,0.0001783163633065
cov_oiii_5007_ew_hbeta_ew,100,32,-1415.282958984375,0.9535884261131288,5.530392277544344e-05,0.8573100485490889,0.0001905200282455
nii_6584_ew_mean,520,28,-1307.180908203125,0.9954082369804382,0.0001256798982824,0.987763555081152,0.0003518650755292
halpha_ew_mean,520,28,-1268.5235595703125,0.9986549615859984,0.0001521162213923,0.9960590371996044,0.0004546069157461
oiii_5007_ew_mean,520,27,-1213.0953369140625,0.9978770613670348,0.0002353267011421,0.9933097585268136,0.0007300485631994
hbeta_ew_mean,520,31,-1293.9385986328125,0.998568058013916,0.0001327697006996,0.9958055621189514,0.0003975060251219
nii_6584_ew_std,520,16,-1327.177978515625,0.9386438131332396,0.0001215877479841,0.8461782040635231,0.000311036552719
halpha_ew_std,520,27,-1319.062744140625,0.988396167755127,0.0001086048995294,0.9644340404798264,0.0003536547782244
oiii_5007_ew_std,520,28,-1180.8385009765625,0.821057915687561,0.0002821999939806,0.612117510526505,0.0007432538180715
hbeta_ew_std,520,40,-1312.4921875,0.9853299856185912,0.0001026481884682,0.9581420788027182,0.0003106122426036
cov_nii_6584_ew_halpha_ew,520,36,-1527.6785888671875,0.9828122854232788,2.445246729890908e-05,0.9258409385098952,0.0001218536007699
cov_nii_6584_ew_oiii_5007_ew,520,23,-1511.758056640625,0.9576825499534608,3.213317480189241e-05,0.8772057029912284,0.000109904345049
cov_nii_6584_ew_hbeta_ew,520,27,-1550.368896484375,0.9727110266685486,2.4840714751253005e-05,0.9116623480515964,9.060056723893291e-05
cov_halpha_ew_oiii_5007_ew,520,32,-1411.689453125,0.962779700756073,5.85689716576318e-05,0.8650670992395186,0.0002456128015136
cov_halpha_ew_hbeta_ew,520,32,-1464.56640625,0.9883612394332886,4.256771334704475e-05,0.9592102220357042,0.0001643040965488
cov_oiii_5007_ew_hbeta_ew,520,35,-1413.7459716796875,0.956140637397766,5.226270145506121e-05,0.8581398677177268,0.0001894120513359
nii_6584_ew_mean,220,24,-1311.265869140625,0.9953798055648804,0.0001264578806368,0.987906854119528,0.0003477444402225
halpha_ew_mean,220,34,-1272.5487060546875,0.9987335801124572,0.000143223462318,0.9960355342704188,0.000457318079157
oiii_5007_ew_mean,220,27,-1213.1861572265625,0.9978783130645752,0.0002351841618919,0.9933859428427736,0.0007217352234451
hbeta_ew_mean,220,36,-1292.4818115234375,0.9986919164657592,0.0001212814867572,0.99594571338815,0.0003842239178372
nii_6584_ew_std,220,19,-1328.2437744140625,0.9410796761512756,0.0001167607207396,0.8456509940911395,0.0003121026017231
halpha_ew_std,220,30,-1320.0596923828125,0.9884729981422424,0.0001078854778636,0.9652803879408232,0.0003452390113603
oiii_5007_ew_std,220,19,-1187.2166748046875,0.816658616065979,0.0002891379237208,0.6139829750597107,0.0007396792467144
hbeta_ew_std,220,32,-1315.396728515625,0.9846171736717224,0.0001076357415238,0.9596318681725484,0.0002995570634659
