Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
cov_halpha_ew_oiii_5007_ew,730,24,-1366.6497802734375,0.9453176259994508,8.176706083872668e-05,0.9055639582050288,0.0001540977366235
cov_halpha_ew_hbeta_ew,730,16,-1370.3582763671875,0.963109850883484,8.817851485197516e-05,0.9303928365187286,0.0001819902841544
cov_oiii_5007_ew_hbeta_ew,730,26,-1393.22265625,0.9495007991790771,6.84923469746208e-05,0.9124152732083576,0.0001278122742521
nii_6584_ew_mean,340,31,-1268.018310546875,0.9903354048728944,0.0001578141158911,0.9697250097507798,0.000504180002064
halpha_ew_mean,340,25,-1203.1331787109375,0.9966498017311096,0.0002352340579395,0.9894735668599106,0.0007403141772681
oiii_5007_ew_mean,340,31,-1157.157470703125,0.9967430233955384,0.0002989499462325,0.9891789858622216,0.0009652474811558
hbeta_ew_mean,340,22,-1242.2349853515625,0.9967750310897828,0.0001937773174042,0.989634838554742,0.0006273514955162
nii_6584_ew_std,340,20,-1296.85107421875,0.962659239768982,0.0001392132753584,0.925709456170588,0.0003121412362781
halpha_ew_std,340,21,-1254.0477294921875,0.9674469232559204,0.0001851863721198,0.9380496409739782,0.0003831577896597
oiii_5007_ew_std,340,30,-1218.44580078125,0.9339838624000548,0.0002124054375294,0.8598355590717314,0.0005422078701138
hbeta_ew_std,340,25,-1279.07568359375,0.9575148820877076,0.0001515787825166,0.9149701882963268,0.0003274780531125
cov_nii_6584_ew_halpha_ew,340,20,-1400.68701171875,0.9681472182273864,6.966983344872971e-05,0.9394454643530225,0.0001500011210143
cov_nii_6584_ew_oiii_5007_ew,340,29,-1445.1173095703125,0.905185043811798,4.846092285428018e-05,0.7848490957739584,0.0001105898071448
cov_nii_6584_ew_hbeta_ew,340,22,-1454.562255859375,0.9637158513069152,4.864747495911202e-05,0.9287980526110616,0.0001045504142192
cov_halpha_ew_oiii_5007_ew,340,26,-1367.56884765625,0.945651650428772,8.126752138431882e-05,0.9060538540365884,0.0001532983401495
cov_halpha_ew_hbeta_ew,340,16,-1370.3583984375,0.963109850883484,8.817844255428118e-05,0.9303896848014472,0.0001819985244258
cov_oiii_5007_ew_hbeta_ew,340,27,-1393.512451171875,0.9495982527732848,6.83601189007336e-05,0.9131275021082902,0.0001267729195744
nii_6584_ew_mean,560,35,-1271.727294921875,0.991750717163086,0.0001347031010069,0.9701109930952028,0.0004977520864219
halpha_ew_mean,560,28,-1208.033203125,0.996533453464508,0.0002434040777732,0.9879304282461596,0.0008488416697289
oiii_5007_ew_mean,560,35,-1156.343994140625,0.9966140985488892,0.0003107857717711,0.9892626082655508,0.0009577882621626
hbeta_ew_mean,560,25,-1241.128662109375,0.9968578815460204,0.0001887987966142,0.9899401930920853,0.0006088699092257
nii_6584_ew_std,560,22,-1297.1766357421875,0.9627401828765868,0.0001389114556213,0.9272404866588876,0.0003057084155615
halpha_ew_std,560,20,-1253.0093994140625,0.9672208428382874,0.0001864726218594,0.9381543353465592,0.0003825102637209
oiii_5007_ew_std,560,25,-1220.6490478515625,0.9327366948127748,0.0002164181804479,0.8560829106885908,0.0005567245012482
hbeta_ew_std,560,17,-1279.9892578125,0.9563384652137756,0.0001557759830666,0.9149814502702414,0.0003274346795095
cov_nii_6584_ew_halpha_ew,560,30,-1401.8614501953125,0.9704381227493286,6.465910600734433e-05,0.938181183394766,0.000153132902292
cov_nii_6584_ew_oiii_5007_ew,560,30,-1446.9842529296875,0.9063578844070436,4.78614736347285e-05,0.7847323717753913,0.0001106498044966
cov_nii_6584_ew_hbeta_ew,560,23,-1453.9049072265625,0.9635565280914308,4.8861099187523285e-05,0.929489977736168,0.0001035344159061
cov_halpha_ew_oiii_5007_ew,560,28,-1368.1217041015625,0.9458516240119934,8.096854544888243e-05,0.9070616105514276,0.0001516539150439
cov_halpha_ew_hbeta_ew,560,16,-1370.3585205078125,0.9631099104881288,8.817832887454628e-05,0.930389648286897,0.0001819986198944
cov_oiii_5007_ew_hbeta_ew,560,25,-1391.1912841796875,0.9488123059272766,6.942613453143688e-05,0.9152824762208822,0.0001236281687442
nii_6584_ew_mean,950,26,-1274.3643798828125,0.9904210567474364,0.0001564152800126,0.9694819886779934,0.0005082271169919
halpha_ew_mean,950,21,-1205.9656982421875,0.9966008067131042,0.0002386747482452,0.9892563715728048,0.0007555893182527
oiii_5007_ew_mean,950,34,-1154.2476806640625,0.9966792464256288,0.000304805824028,0.9892699142469092,0.0009571365598347
hbeta_ew_mean,950,22,-1239.637939453125,0.99671870470047,0.000197161769087,0.9896600347524782,0.0006258264954074
nii_6584_ew_std,950,18,-1292.2548828125,0.9601895213127136,0.0001484209283742,0.9250655601426224,0.0003148466479206
halpha_ew_std,950,20,-1252.3372802734375,0.9670735597610474,0.0001873102874084,0.9395931005135728,0.000373611621487
oiii_5007_ew_std,950,28,-1216.475830078125,0.9331111907958984,0.0002152132246304,0.8585601691756837,0.0005471415496871
hbeta_ew_std,950,20,-1278.328369140625,0.9558523297309875,0.0001575104676174,0.9121000050843574,0.0003385320821818
cov_nii_6584_ew_halpha_ew,950,20,-1400.68701171875,0.9681472182273864,6.966984977408394e-05,0.939445443788211,0.0001500011719559
cov_nii_6584_ew_oiii_5007_ew,950,26,-1445.6424560546875,0.9055164456367492,4.829152321932153e-05,0.7795666245068873,0.0001133050524317
cov_nii_6584_ew_hbeta_ew,950,22,-1454.328369140625,0.9636592864990234,4.872338437551219e-05,0.9283136117455746,0.0001052617500044
cov_halpha_ew_oiii_5007_ew,950,26,-1365.9093017578125,0.9450470805168152,8.217162754988654e-05,0.908504769579257,0.0001492990139325
cov_halpha_ew_hbeta_ew,950,16,-1370.3583984375,0.963109850883484,8.817842197175154e-05,0.9303893425446794,0.0001819994192677
cov_oiii_5007_ew_hbeta_ew,950,29,-1388.8013916015625,0.949698805809021,6.822375696295391e-05,0.9129721633870193,0.0001269996051618
nii_6584_ew_mean,710,25,-1274.672607421875,0.9904407262802124,0.0001560942169685,0.9689297711443804,0.0005174233887312
halpha_ew_mean,710,19,-1208.8314208984375,0.9965518116950988,0.0002421122187507,0.9891747066198868,0.0007613327378543
oiii_5007_ew_mean,710,37,-1154.9849853515625,0.9968041181564332,0.0002933468104064,0.9890569365217236,0.0009761344291804
hbeta_ew_mean,710,24,-1242.484375,0.9967803359031676,0.0001934554651547,0.9895437701695896,0.0006328634103977
