Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
hbeta_ew_mean,880,33,-1307.5506591796875,0.9990500211715698,0.0001096897009021,0.9980662348325332,0.0002278175085537
nii_6584_ew_std,880,22,-1334.544677734375,0.8678063154220581,0.0001082795462426,0.7241414160374848,0.0002870754400189
halpha_ew_std,880,24,-1339.85595703125,0.9616222977638244,0.000101079082729,0.9092959609607149,0.0002665178013718
oiii_5007_ew_std,880,26,-1198.3592529296875,0.8719759583473206,0.0002596191496007,0.7654428320426575,0.0005929358217136
hbeta_ew_std,880,25,-1344.28173828125,0.9553447961807252,9.491625989927808e-05,0.9072916524966989,0.0002159036135497
cov_nii_6584_ew_halpha_ew,880,26,-1552.5821533203125,0.9346872568130492,2.3672753401178486e-05,0.8497387900440083,6.672728576864514e-05
cov_nii_6584_ew_oiii_5007_ew,880,25,-1503.1142578125,0.9387241005897522,3.4039292263884423e-05,0.8760660232478342,7.723088052904963e-05
cov_nii_6584_ew_hbeta_ew,880,25,-1581.8038330078125,0.9088371396064758,1.9482447395418687e-05,0.8290028302669846,4.4000237373586206e-05
cov_halpha_ew_oiii_5007_ew,880,19,-1495.3553466796875,0.949484646320343,3.832296001542952e-05,0.86987711737834,0.0001037222267566
cov_halpha_ew_hbeta_ew,880,21,-1529.4312744140625,0.95499587059021,2.953193912212428e-05,0.905406298064344,6.900729582211536e-05
cov_oiii_5007_ew_hbeta_ew,880,27,-1500.756103515625,0.9488599896430968,3.234398064055831e-05,0.8282413997641214,0.0001161507224245
nii_6584_ew_mean,500,33,-1283.1038818359375,0.9963581562042236,0.0001291060437213,0.9926099173204004,0.0002747137131249
halpha_ew_mean,500,45,-1289.2802734375,0.999182105064392,0.0001158909474746,0.998336842969851,0.000239674656182
oiii_5007_ew_mean,500,26,-1186.9345703125,0.997755229473114,0.0002709609092859,0.9951344425356624,0.000576628691968
hbeta_ew_mean,500,35,-1312.74853515625,0.9990512132644652,0.0001095528060502,0.9980436154922429,0.0002304823004513
nii_6584_ew_std,500,30,-1334.80078125,0.876560389995575,0.0001011090701811,0.7423571022676839,0.0002681190745339
halpha_ew_std,500,25,-1339.98779296875,0.9616560339927672,0.0001009902479041,0.9096717049891216,0.0002654137438966
oiii_5007_ew_std,500,26,-1195.3258056640625,0.873652458190918,0.0002562193136775,0.7669379274889808,0.0005891563778589
hbeta_ew_std,500,20,-1345.779541015625,0.952733874320984,0.0001004657730971,0.9086088099905228,0.0002128361544677
cov_nii_6584_ew_halpha_ew,500,32,-1552.2681884765625,0.9367005825042723,2.29430173854014e-05,0.860189820613016,6.208624165912904e-05
cov_nii_6584_ew_oiii_5007_ew,500,33,-1521.39990234375,0.9509289264678956,2.7259383304590377e-05,0.8566843995762731,8.930876184508823e-05
cov_nii_6584_ew_hbeta_ew,500,27,-1583.8564453125,0.910076141357422,1.921766284239164e-05,0.8328008384192536,4.3022950670493e-05
cov_halpha_ew_oiii_5007_ew,500,19,-1493.4197998046875,0.9505096673965454,3.75453477950346e-05,0.8710873079896626,0.0001027575719435
