combo,complexity_nii_6584_ew,complexity_halpha_ew,complexity_oiii_5007_ew,complexity_hbeta_ew,r2_nii_6584_ew,r2_halpha_ew,r2_oiii_5007_ew,r2_hbeta_ew,mse_test_nii_6584_ew,mse_test_halpha_ew,mse_test_oiii_5007_ew,mse_test_hbeta_ew,mse_total
42-38-41-41,42,38,41,41,0.5386630296707153,0.7485301494598389,0.5914580821990967,0.7221635580062866,0.0545524403143095,0.05588305384379626,0.11187993661528238,0.05072549665690676,0.2730409274302949
41-38-42-47,41,38,42,47,0.538421630859375,0.7485301494598389,0.591460645198822,0.7224698066711426,0.05460042296732544,0.05588305384379626,0.1118679374971305,0.05069536310302376,0.273046777411276
42-38-40-40,42,38,40,40,0.5386630296707153,0.7485301494598389,0.5910818576812744,0.7217997908592224,0.0545524403143095,0.05588305384379626,0.11180201702923849,0.05081034146032946,0.27304785264767373
41-38-42-46,41,38,42,46,0.538421630859375,0.7485301494598389,0.591460645198822,0.7224181890487671,0.05460042296732544,0.05588305384379626,0.1118679374971305,0.05070382356115253,0.2730552378694047
43-38-42-39,43,38,42,39,0.5397072434425354,0.7485301494598389,0.591460645198822,0.7214324474334717,0.05441051449632982,0.05588305384379626,0.1118679374971305,0.05089443410633031,0.2730559399435869
41-38-42-45,41,38,42,45,0.538421630859375,0.7485301494598389,0.591460645198822,0.7223343849182129,0.05460042296732544,0.05588305384379626,0.1118679374971305,0.05070569214389931,0.27305710645215153
41-38-45-47,41,38,45,47,0.538421630859375,0.7485301494598389,0.5916415452957153,0.7224698066711426,0.05460042296732544,0.05588305384379626,0.11187849624163723,0.05069536310302376,0.2730573361557827
41-38-41-47,41,38,41,47,0.538421630859375,0.7485301494598389,0.5914580821990967,0.7224698066711426,0.05460042296732544,0.05588305384379626,0.11187993661528238,0.05069536310302376,0.27305877652942784
41-38-42-42,41,38,42,42,0.538421630859375,0.7485301494598389,0.591460645198822,0.722253680229187,0.05460042296732544,0.05588305384379626,0.1118679374971305,0.05070912425734517,0.27306053856559737
41-38-45-46,41,38,45,46,0.538421630859375,0.7485301494598389,0.5916415452957153,0.7224181890487671,0.05460042296732544,0.05588305384379626,0.11187849624163723,0.05070382356115253,0.27306579661391145
