combo,complexity_nii_6584_ew,complexity_halpha_ew,complexity_oiii_5007_ew,complexity_hbeta_ew,r2_nii_6584_ew,r2_halpha_ew,r2_oiii_5007_ew,r2_hbeta_ew,mse_test_nii_6584_ew,mse_test_halpha_ew,mse_test_oiii_5007_ew,mse_test_hbeta_ew,mse_total
43-44-49-45,43,44,49,45,0.5395240187644958,0.746117115020752,0.5918325185775757,0.7217460870742798,0.0545001875961745,0.05643351845267544,0.11166307782829818,0.05084629435981709,0.27344307823696523
43-43-49-45,43,43,49,45,0.5395240187644958,0.746117115020752,0.5918325185775757,0.7217460870742798,0.0545001875961745,0.05643351986105618,0.11166307782829818,0.05084629435981709,0.273443079645346
43-49-43-45,43,49,43,45,0.5395240187644958,0.7463195323944092,0.5911560654640198,0.7217460870742798,0.0545001875961745,0.05635883763550915,0.11174325465546278,0.05084629435981709,0.2734485742469635
44-48-44-43,44,48,44,43,0.538781464099884,0.747119128704071,0.591278076171875,0.7212280035018921,0.05460980322267459,0.056167790685154546,0.11173585711654588,0.05093583610717092,0.2734492871315459
43-49-44-44,43,49,44,44,0.5395240187644958,0.7463195323944092,0.591278076171875,0.721671462059021,0.0545001875961745,0.05635883763550915,0.11173585711654588,0.050854788749363035,0.27344967109759255
47-48-46-44,47,48,46,44,0.5391425490379333,0.747119128704071,0.5906524062156677,0.721671462059021,0.054551907544883246,0.056167790685154546,0.11187557556415675,0.050854788749363035,0.2734500625435576
43-45-49-44,43,45,49,44,0.5395240187644958,0.746122419834137,0.5918325185775757,0.721671462059021,0.0545001875961745,0.05643206615154384,0.11166307782829818,0.050854788749363035,0.2734501203253796
45-47-49-44,45,47,49,44,0.5376781225204468,0.7470830082893372,0.5918325185775757,0.721671462059021,0.054778589890928577,0.05615386120428056,0.11166307782829818,0.050854788749363035,0.27345031767287037
43-46-49-44,43,46,49,44,0.5395240187644958,0.7461231350898743,0.5918325185775757,0.721671462059021,0.0545001875961745,0.05643232816677107,0.11166307782829818,0.050854788749363035,0.2734503823406068
47-47-45-43,47,47,45,43,0.5391425490379333,0.7470830082893372,0.5912417769432068,0.7212280035018921,0.054551907544883246,0.05615386120428056,0.1118089871202269,0.05093583610717092,0.27345059197656163
43-44-49-44,43,44,49,44,0.5395240187644958,0.746117115020752,0.5918325185775757,0.721671462059021,0.0545001875961745,0.05643351845267544,0.11166307782829818,0.050854788749363035,0.27345157262651115
43-43-49-44,43,43,49,44,0.5395240187644958,0.746117115020752,0.5918325185775757,0.721671462059021,0.0545001875961745,0.05643351986105618,0.11166307782829818,0.050854788749363035,0.2734515740348919
43-45-47-45,43,45,47,45,0.5395240187644958,0.746122419834137,0.5916110873222351,0.7217460870742798,0.0545001875961745,0.05643206615154384,0.11167496598605615,0.05084629435981709,0.2734535140935916
45-47-47-45,45,47,47,45,0.5376781225204468,0.7470830082893372,0.5916110873222351,0.7217460870742798,0.054778589890928577,0.05615386120428056,0.11167496598605615,0.05084629435981709,0.2734537114410824
