combo,complexity_nii_6584_ew,complexity_halpha_ew,complexity_oiii_5007_ew,complexity_hbeta_ew,r2_nii_6584_ew,r2_halpha_ew,r2_oiii_5007_ew,r2_hbeta_ew,mse_test_nii_6584_ew,mse_test_halpha_ew,mse_test_oiii_5007_ew,mse_test_hbeta_ew,mse_total
20-22-22-24,20,22,22,24,0.5259456634521484,0.7425686717033386,0.5847432613372803,0.7170562148094177,0.05626066709103346,0.05734209116790993,0.11376899799037798,0.05178549557725267,0.279157251826574
20-25-21-24,20,25,21,24,0.5259456634521484,0.7434190511703491,0.5840564370155334,0.7170562148094177,0.05626066709103346,0.05721049791278843,0.11403045261578781,0.05178549557725267,0.2792871131968624
25-21-21-25,25,21,21,25,0.5311232805252075,0.7379428744316101,0.5840564370155334,0.7188795208930969,0.05548573202490148,0.05830335416606482,0.11403045261578781,0.0515015428688099,0.279321081675564
25-21-22-24,25,21,22,24,0.5311232805252075,0.7379428744316101,0.5847432613372803,0.7170562148094177,0.05548573202490148,0.05830335416606482,0.11376899799037798,0.05178549557725267,0.27934357975859697
20-21-25-24,20,21,25,24,0.5259456634521484,0.7379428744316101,0.5873445868492126,0.7170562148094177,0.05626066709103346,0.05830335416606482,0.11300523105008028,0.05178549557725267,0.27935474788443126
21-21-22-25,21,21,22,25,0.5285353660583496,0.7379428744316101,0.5847432613372803,0.7188795208930969,0.05583469718235582,0.05830335416606482,0.11376899799037798,0.0515015428688099,0.27940859220760855
20-22-21-24,20,22,21,24,0.5259456634521484,0.7425686717033386,0.5840564370155334,0.7170562148094177,0.05626066709103346,0.05734209116790993,0.11403045261578781,0.05178549557725267,0.27941870645198386
24-21-22-25,24,21,22,25,0.5288138389587402,0.7379428744316101,0.5847432613372803,0.7188795208930969,0.05584504664636968,0.05830335416606482,0.11376899799037798,0.0515015428688099,0.2794189416716224
25-21-21-24,25,21,21,24,0.5311232805252075,0.7379428744316101,0.5840564370155334,0.7170562148094177,0.05548573202490148,0.05830335416606482,0.11403045261578781,0.05178549557725267,0.2796050343840068
21-21-21-25,21,21,21,25,0.5285353660583496,0.7379428744316101,0.5840564370155334,0.7188795208930969,0.05583469718235582,0.05830335416606482,0.11403045261578781,0.0515015428688099,0.2796700468330184
24-21-21-25,24,21,21,25,0.5288138389587402,0.7379428744316101,0.5840564370155334,0.7188795208930969,0.05584504664636968,0.05830335416606482,0.11403045261578781,0.0515015428688099,0.27968039629703223
21-21-22-24,21,21,22,24,0.5285353660583496,0.7379428744316101,0.5847432613372803,0.7170562148094177,0.05583469718235582,0.05830335416606482,0.11376899799037798,0.05178549557725267,0.2796925449160513
24-21-22-24,24,21,22,24,0.5288138389587402,0.7379428744316101,0.5847432613372803,0.7170562148094177,0.05584504664636968,0.05830335416606482,0.11376899799037798,0.05178549557725267,0.2797028943800652
20-21-22-25,20,21,22,25,0.5259456634521484,0.7379428744316101,0.5847432613372803,0.7188795208930969,0.05626066709103346,0.05830335416606482,0.11376899799037798,0.0515015428688099,0.27983456211628616
21-21-21-24,21,21,21,24,0.5285353660583496,0.7379428744316101,0.5840564370155334,0.7170562148094177,0.05583469718235582,0.05830335416606482,0.11403045261578781,0.05178549557725267,0.2799539995414611
24-21-21-24,24,21,21,24,0.5288138389587402,0.7379428744316101,0.5840564370155334,0.7170562148094177,0.05584504664636968,0.05830335416606482,0.11403045261578781,0.05178549557725267,0.279964349005475
20-21-21-25,20,21,21,25,0.5259456634521484,0.7379428744316101,0.5840564370155334,0.7188795208930969,0.05626066709103346,0.05830335416606482,0.11403045261578781,0.0515015428688099,0.280096016741696
20-21-22-24,20,21,22,24,0.5259456634521484,0.7379428744316101,0.5847432613372803,0.7170562148094177,0.05626066709103346,0.05830335416606482,0.11376899799037798,0.05178549557725267,0.28011851482472894
20-21-21-24,20,21,21,24,0.5259456634521484,0.7379428744316101,0.5840564370155334,0.7170562148094177,0.05626066709103346,0.05830335416606482,0.11403045261578781,0.05178549557725267,0.28037996945013877
