seed,p_energy,p_wasserstein,d_ks2d,d_kl
19544,0.060175,0.02,0.137,0.5370193117849191
13444,0.05840000000000001,0.08,0.11599999999999999,0.5388617893245973
16608,0.058800000000000005,0.075,0.1225,0.5531485179694108
15020,0.0584,0.16,0.1275,0.5526376484311939
10379,0.05907500000000001,0.095,0.15050000000000002,0.555036884836351
17162,0.062400000000000004,0.055,0.11850000000000001,0.5288335792615135
18058,0.0502,0.04,0.12249999999999997,0.5475650354775868
11910,0.050675000000000005,0.015,0.139,0.5412842152247959
11509,0.056175,0.13,0.126,0.5596867590955859
19576,0.0617,0.085,0.1415,0.5618665617937245
13104,0.0604,0.02,0.14100000000000001,0.5409663737731861
18245,0.066125,0.09,0.1255,0.5457498205405134
13667,0.05585000000000001,0.03,0.126,0.543074072121193
17038,0.054924999999999995,0.005,0.1275,0.5587358203967205
17967,0.057150000000000006,0.155,0.12700000000000003,0.5357574966797586
11742,0.061700000000000005,0.005,0.129,0.5458127997784914
18503,0.073725,0.445,0.118,0.535964657327969
14777,0.05665,0.005,0.1415,0.5147420355708111
16101,0.06015000000000001,0.01,0.1225,0.5129656535669872
12338,0.068225,0.025,0.11049999999999999,0.5342478743347494
13234,0.057874999999999996,0.09,0.127,0.5443597750807202
13781,0.058949999999999995,0.06,0.124,0.5615249010696249
11274,0.0613,0.17,0.119,0.5456215996213488
15703,0.06807500000000001,0.13,0.12200000000000003,0.5602694150725274
11697,0.059225,0.57,0.13250000000000003,0.5391973906635741
12646,0.05675000000000001,0.04,0.11499999999999999,0.5493997554694452
12700,0.06537500000000002,0.01,0.13549999999999998,0.5398978843189329
15604,0.070375,0.21,0.11599999999999999,0.5479948842842477
17361,0.05875,0.005,0.1335,0.5361628930514153
15044,0.05195,0.14,0.13549999999999998,0.5358895909088098
11487,0.057925000000000004,0.025,0.15500000000000003,0.5335687168287926
14269,0.06615,0.045,0.13200000000000003,0.5610534414215858
19407,0.061325000000000005,0.005,0.12649999999999997,0.5450986426631028
14344,0.05612500000000001,0.115,0.11849999999999997,0.5255361706839357
